mile,name,lon,lat
0,基金,121.71509852592644,25.13991442649551
2,瑪東系統,121.69888353882413,25.130100600882486
10,汐止系統,121.6480490347953,25.07989888204087
12,新台五路,121.6425031615939,25.062476068769378
14,南港,121.62852652508236,25.050732908945626
16,南港系統,121.61975619923243,25.03502530835364
16,南深路,121.61975619923243,25.03502530835364
20,木柵,121.59650748105169,25.00787048125186
25,木柵休息站,121.57083090447418,24.976094915182244
26,新店,121.5609667776299,24.97701437121967
31,安坑,121.52553204069457,24.96817492203688
35,中和,121.49268060212039,24.984678565307867
42,土城,121.43613572668065,24.961478173164004
46,樹林,121.40061268952951,24.950661855735035
50,三鶯,121.36370266469743,24.942204723093685
54,鶯歌系統,121.32796934394848,24.939514141822038
62,大溪,121.26724440533812,24.897219270681845
68,龍潭,121.22520953323755,24.862123687087692
76,關西服務區,121.1985133223327,24.803880820971457
79,關西,121.1733478003708,24.8002259881839
90,竹林,121.08287654305627,24.76844409045951
96,寶山休息站,121.03133932859893,24.759172067610294
98,寶山,121.01368758824334,24.755200567680248
100,新竹系統,120.99430633586027,24.755616223301544
103,茄苳,120.9652274352073,24.758935029756888
109,香山,120.91359263715441,24.73707665899424
115,西濱,120.8702669044953,24.702797830516612
119,竹南,120.84738296341685,24.67622125389226
124,大山,120.82124491315746,24.640109495722324
130,後龍,120.78700792369055,24.599143480094018
134,西湖服務區,120.76221542870417,24.572555999882717
144,通霄,120.70635930366961,24.49961406224717
156,苑裡,120.67096919774268,24.403834101757283
164,大甲,120.64646002488615,24.3381564542719
169,中港系統,120.61364435090346,24.3076412017937
172,清水服務區,120.60069420898402,24.284837174486167
176,沙鹿,120.58982321815022,24.251703726514812
182,龍井,120.57800745820191,24.201531023399482
191,和美,120.51931084364531,24.1458016379675
196,彰化系統,120.54731821717623,24.110300424077998
202,快官,120.60262663091834,24.09323175370397
207,烏日,120.64199910431903,24.06934142900978
209,中投,120.66126265925604,24.065942292518955
211,霧峰,120.67670537929534,24.055018960949123
214,霧峰系統,120.67104661135117,24.03032685966364
217,草屯,120.6546565663523,24.008052798560495
222,中興系統,120.64953058342597,23.96498616513804
224,中興,120.6641840848164,23.95405356163144
228,南投,120.68334927017617,23.923412836653334
231,南投服務區,120.70380369099682,23.90473245933486
237,名間,120.7022010560407,23.854160957108604
243,竹山,120.69817244366345,23.803977815417262
250,南雲,120.66245179374138,23.774561457183445
260,斗六,120.59301263245699,23.736617733665756
268,古坑北,120.58316086579849,23.673767377433403
269,古坑系統,120.57584703501404,23.667746866559902
271,古坑南,120.57286449715698,23.650354942467665
276,古坑服務區,120.55088969039875,23.61324250230409
279,梅山,120.52576864379031,23.60033667580117
290,竹崎,120.48573432969481,23.51356823769009
297,中埔,120.48955107239003,23.45683217990139
300,水上系統,120.4744383010548,23.434034168313925
311,白河,120.4380130174243,23.356200499775337
319,東山服務區,120.40489695046153,23.29720639418876
322,柳營,120.38638410647296,23.276682081370303
329,烏山頭,120.35939633995325,23.221831666183554
334,官田系統,120.3548564120187,23.177381343776695
340,善化,120.33321176388155,23.128467929366717
346,新化系統,120.32875634133147,23.075456902326355
350,新化休息站,120.32476256545283,23.041267135564503
357,關廟,120.3223168675917,22.980391666113704
363,關廟服務區,120.35329949323689,22.94075529786254
369,田寮,120.36068652466446,22.88946948601409
383,燕巢系統,120.42584914757006,22.789198105954483
391,九如,120.4878215051477,22.755316621577606
400,長治,120.5499186857557,22.699677507692446
407,麟洛,120.5430853052161,22.647125012646534
415,竹田系統,120.52671524883621,22.578377765059553
421,崁頂,120.52140228129167,22.526494898536896
424,南州,120.52624648977151,22.50011466931417
430,林邊,120.51448903419495,22.452378587359267
431,大鵬灣端,120.50722642022767,22.44637300751792
